"team","pp","week"
"Notre Dame",0.665108857169202,5
"Arkansas",0.539513731361068,5
"Penn State",0.624411056036648,5
"Cincinnati",0.65378520665021,5
"Oregon",0.562876094055047,5
"Texas A&M",0.572753495775226,5
"Coastal Carolina",0.327016653296709,5
"Maryland",0.292484382221678,5
"Texas",0.707840808678173,5
"BYU",0.390626397213878,5
"Oklahoma State",0.484882549840427,5
"UT San Antonio",0.120518963675747,5
"Ohio State",0.78096277463435,5
"Wake Forest",0.360993464317519,5
"UCLA",0.397045113964438,5
"Michigan State",0.412677171915435,5
"Florida",0.701507888388984,5
"Boston College",0.230236212539169,5
"Clemson",0.649923701052818,5
"SMU",0.27465075664139,5
"Army",0.237206349774962,5
"Rutgers",0.232052742974391,5
"Baylor",0.335260528474879,5
"Ole Miss",0.589104628008153,5
"Purdue",0.241742734916247,5
"West Virginia",0.318603923997882,5
"NC State",0.349938103939718,5
"Auburn",0.46557634968156,5
"LSU",0.463303371843569,5
"Liberty",0.131695813704875,5
"Fresno State",0.130477992049495,5
"Appalachian State",0.247501097055065,5
"Boise State",0.33392484352214,5
"Kansas State",0.280901513980343,5
"Oregon State",0.184920103615503,5
"Arizona State",0.295372845962651,5
"Western Michigan",0.0717954057450382,5
"Kentucky",0.290156419879751,5
"San Diego State",0.110971763670909,5
"Louisiana",0.191128623034278,5
"UAB",0.150227624165986,5
"Iowa State",0.506792379850953,5
"Pittsburgh",0.274918240438018,5
"Miami",0.295871748333133,5
"Wisconsin",0.368259227054114,5
"Wyoming",0.00555108128074131,5
"North Carolina",0.334230716370464,5
"Nevada",-0.0117938506791732,5
"TCU",0.274612653524749,5
"Virginia Tech",0.203680004145048,5
"USC",0.253818227563289,5
"UCF",0.266626209026662,5
"Nebraska",0.190340237595828,5
"Houston",0.0048142726479259,5
"Air Force",0.0472027761451703,5
"Memphis",0.109287325442136,5
"Mississippi State",0.212854483639635,5
"Indiana",0.238870516069834,5
"Louisville",0.136758541081343,5
"Syracuse",-0.0335940672732701,5
"Stanford",0.0928401919199115,5
"Utah",0.235278485607371,5
"Washington",0.253916163632414,5
"Texas Tech",0.100463917891572,5
"Toledo",-0.0424365948275979,5
"Minnesota",0.105988191143678,5
"Buffalo",-0.0710785926265747,5
"Virginia",0.0863299833077994,5
"Marshall",0.013074630414744,5
"Eastern Michigan",-0.180986700275869,5
"Georgia Tech",0.0525071389649726,5
"Missouri",0.114363790696777,5
"San Jose State",-0.167934185457459,5
"Florida Atlantic",-0.125948965840697,5
"Tennessee",0.0594571929044287,5
